Heureux Cyclage;Atelier;Adresse;Code postal;Ville;Pays;Latitude;Longitude
Oui;Roue pèt';13 rue des Alliés;68500;GUEBWILLER;France;47.91182906610771;7.205078601837159
Oui;Mon Cher Vélo;8, rue Eirick Labonne;18000;BOURGES;France;47.064077;2.402427
Oui;Brest à pied et à vélo;19 rue Bruat;29200;BREST;France;48.397344;-4.481599
Oui;Au Tour du Cycle;Place Jullien;26400;CREST;France;44.72859123865968;5.023426115512848
Oui;L'Atelier du Petit Plateau;33 place Henri Barbusse;86000;POITIERS;France;46.57588;0.33867
Oui;vélOYO;152, rue Anatole France;1116;OYONNAX;France;46.256188061026336;5.6541019678115845
Oui;Opti’vélo;Parc du Souvenir Emilie Fouchard 77500 Chelles;77500;CHELLES;France;48.8777753;2.5900742999999693
Oui;La Grande Pompe;11 rue de Saint-Jean d'Angély;16710;SAINT-YRIEIX-SUR-CHARENTE;France;45.66229227244371;0.13781055808067325
Oui;Vélorisation;6 rue Descartes;41000;BLOIS;France;47.58009831334626;1.3057851791381838
Oui;Osez l'vélo;9, rue de l'Escot;38300;BOURGOIN-JALLIEU;France;45.58702901814435;5.278791189193726
Oui;La roue libre;3 rue Bonnivet;76600;LE HAVRE;France;49.4937307;0.1201775
Oui;CycloCampus Béthune;Dpt QLIO, IUT de Béthune, 1230, rue de l'université;62408;BÉTHUNE;France;50.515404992122846;2.660064697265625
Oui;Change de Chaîne;Parc Relai Gare de Vaise , 2 rue du 24 Mars 1852 ,;69009;LYON;France;45.78147814168152;4.80569601069874
Oui;Atelier Solidaire de Saint-Ouen;;93400;SAINT-OUEN;France;48.91188975478733;2.3337364196777344
Oui;La P’tite Rustine;Avenue Pierre Mendès-France;69500;BRON;France;45.72356508804532;4.91563081741333
Oui;Les Bikers;Rez-de-chaussée bâtiment H, avenue des Arts;69100;VILLEURBANNE;France;45.78401554303203;4.874067306518555
Oui;Good'Huile;1, rue de la Filature;44190;CLISSON;France;47.08625420924502;-1.2860870361328123
Oui;Atelier Cyclonique;place de Suze Central Park;5100;BRIANÇON;France;44.89664;6.63314
Oui;Cycles et Manivelles;28, rue Léon Gambetta;33130;BÈGLES;France;44.807447109591244;-0.5511081218719482
Oui;La Cyclofficine de Pantin;20 Rue Magenta;93500;PANTIN;France;48.90064189421384;2.3923695087432857
Oui;Cyclofficine d'Ivry;6 boulevard de Brandebourg;94200;IVRY-SUR-SEINE;France;48.81467078784573;2.4012637138366695
Oui;Je p'neu le faire;8 rue Etienne Marcel;26200;MONTÉLIMAR;France;44.550031;4.742888
Oui;Action Vélo;Cours Foch;13400;AUBAGNE;France;43.29347753370714;5.5677831172943115
Oui;Étu’Récup;MAC - Domaine Universitaire - Village 3;33608;PESSAC;France;44.80075968062996;-0.6084483861923217
Oui;ConviBicy;Place de la Croisière;13200;ARLES;France;43.67375752795885;4.633647501468659
Oui;Ressourcerie Court-Circuit;3 route de Vallière;23500;FELLETIN;France;45.88774914018641;2.170019745826721
Oui;Cyclamaine;47 rue des Acacias;72100;LE MANS;France;47.997635;0.184694
Oui;Atelier TriCycles;9 place Jean-Jaurès;69310;PIERRE-BÉNITE;France;45.7038495;4.8237562
Oui;L’Engrenage;8 rue des fréres Simon;88100;SAINT-DIÉ-DES-VOSGES;France;48.28733006639019;6.952956318855285
Oui;La Citrouille;;38000;GRENOBLE;France;45.1766;5.7226
Oui;L'Abri Syklett;13 bis rue Beauvais;56100;LORIENT;France;47.755909860170874;-3.3660623431205754
Oui;Véloquirit;300 avenue d'Hoffenbourg;39000;LONS-LE-SAUNIER;France;46.677193437755456;5.570368766784669
Oui;La Pompe à Vélo;3, allée de la Grange;35230;"NOYAL/CHÂTILLON SUR&nbsp;SEICHE";France;48.043452443395;-1.664804220199585
Oui;Un Guidon dans la Tête; 34 rue Albert Thomas;63000;CLERMONT-FERRAND;France;45.76196;3.08379
Oui;La Boîte à Cycler;74, avenue du Général Leclerc;78220;VIROFLAY;France;48.804118243326165;2.1762585639953613
Oui;La Boîte à Cycler;3 Sente de la Gare;78220;VIROFLAY;France;48.79999130120164;2.1835670470863993
Oui;Atelier Vélorution Bastille;6, rue Jacques Cœur;75004;PARIS;France;48.85275733753064;2.367382049560547
Oui;Kernavélo;14C rue de la Tour d'Auvergne;29000;QUIMPER;France;47.992057323259985;-4.085006117875309
Oui;Vél’Oxygène;1 rue du Lieutenant Herduin;51100;REIMS;France;49.2493045;4.0369583
Oui;Vél’Oxygène Recyc'lab;place Paul Claudel;51100;REIMS;France;49.23303956667329;4.033028483390809
Oui;La Casa Bicicleta;13 bis Rue de la Lanterne;66000;PERPIGNAN;France;42.69641519060862;2.892048954963684
Oui;Velociutat Beziers;30 rue du Coq;34500;BÉZIERS;France;43.339849158359094;3.2173901796340942
Oui;La Vie’Cyclette;18 résidence du Bois de l'Etang;78320;LA VERRIÈRE;France;48.76005054980258;1.9665420055389407
Oui;Poto'Cyclettes;11 rue du puits;68200;MULHOUSE;France;47.751104438314066;7.353469133377076
Oui;360 degrés sud;;93390;CLICHY-SOUS-BOIS;France;48.91172052586013;2.5412750244140625
Oui;Régie de quartier de Clos Saint-Lazare/Cité Jardin;16 avenue George Sand;93240;STAINS - PLAINE COMMUNE;France;48.950656;2.375057
Oui;VillOvélO;Au Repair Café, 112 Rue de Souché;79000;NIORT;France;46.32598681447484;-0.4378169775009155
Oui;3S - Recyclerie Sportive;32 Rue Henri Gilbert;91300;MASSY;France;48.72882741285085;2.281562089920044
Oui;3S - Recyclerie Sportive;81 boulevard Bessières;75017;PARIS;France;48.896366256918206;2.3196280002594
Oui;Vélo Sapiens;39 rue Mazagran;13001;MARSEILLE;France;43.29744401446114;5.3834268450737
Oui;Les Jantes du Nord - atelier Eugène Jacquet;41 rue Eugène Jacquet;59000;LILLE;France;50.637506512787795;3.0840039253234863
Oui;Les Jantes du Nord - maison du vélo;station de métro Cité Scientifique, avenue Jean Perrin;59650;VILLENEUVE-D'ASCQ;France;50.61115491824821;3.1419718265533447
Oui;L’Atelier du Vélo Pour Tous;5 place Maurice Barthe (rdc tour E);32000;AUCH;France;43.634944630022986;0.5934190745756496
Oui;La Brico;14 rue du Maréchal Joffre;38600;FONTAINE;France;45.18831319280623;5.696132183074951
Oui;La Brico - atelier mobile;38 bis mail Marcel Cachin;38600;FONTAINE;France;45.194765711952535;5.687087774276734
Oui;L'atelier des petits clous;Square Bobinec;17000;LA ROCHELLE;France;46.15408391793085;-1.1484861382632516
Oui;Le Stick;La Fabrique, 91 Route des Romains;67200;KOENIGSHOFFEN;France;48.580319454474235;7.719515562057495
Oui;Ma Ville à Vélo 08;17 Rue Irénée Carré;8000;CHARLEVILLE-MÉZIÈRES;France;49.77272492909373;4.718933701515198
Oui;Pignon sur roue;9 allée des frênes;38100;GRENOBLE;France;45.16122160759284;5.735871791839599
Oui;ECOLOC - l’atelier vélo;1, montée de barret le haut;5300;BARRET-SUR-MÉOUGE;France;44.262924;5.733266
Oui;STÉ Vélosolidaire;sous le pont de Vence;38120;SAINT-ÉGRÈVE;France;45.22979912345217;5.683024227619172
Oui;Opale Vélo Services;152 Boulevard Gambetta;62100;CALAIS;France;50.946969152597454;1.8464863300323489
Oui;L’atelier vélo de Maxéville;Rue de la République;54320;MAXÉVILLE;France;48.712309061948446;6.1612486839294425
Oui;À bicyclette;78, rue de la Barrière;19000;TULLE;France;45.26591638960789;1.7695927619934082
Oui;Metz à Vélo;10 rue Basse Seille;57000;METZ;France;49.11974655630732;6.182363033294678
Oui;Recycl’Arte;16 rue Leku Eder;64700;HENDAYE;France;43.347003;-1.7731202
Oui;La Cyclette;6 Rue des Goncourt;75011;PARIS;France;48.869315;2.3723751
Oui;Vélorution Périgourdine;48 allée du Port;24000;PÉRIGUEUX;France;45.18452442990104;0.7089346647262573
Oui;La Ferme à Cycles;150 route Royale;26340;SAILLANS;France;44.69586468387707;5.193605693948486
Oui;Les vélos de la Brèche;164 rue Henri Barbusse;93300;AUBERVILLIERS;France;48.913533;2.391865
Oui;Bricovélo;Bicyclem, 46 rue du Lieutenant;53000;LAVAL;France;48.0730510078355;-0.7679137587547302
Oui;Ça Roule;11 Rue Georges Dupré;42000;SAINT-ÉTIENNE;France;45.43642295649317;4.390548169612885
Oui;Château à Vélo et autres roues libres;allées Marcel Jullian;13160;CHÂTEAURENARD;France;43.88382638356551;4.857472479343415
Oui;Kan An Dour;4 allée verte;29870;LANNILIS;France;48.56901904715116;-4.518417119979859
Oui;Mon Vélo En Seine;24 Rue des Quatre Frères Peignot;75015;PARIS;France;48.845711732186516;2.2824961505466494
Oui;Atelier de réparation coopérative de Chantenay;30 boulevard de Chantenay;44100;NANTES;France;47.19621505519704;-1.590802073478699
Oui;Le Tri Sera Top;MIE PAUI UTZJ, 5 allées Antonio Machado;31058;TOULOUSE cedex 9;France;43.576939965218166;1.4070332050323489
Oui;Les Vélos des Étangs;Avenue Radolfzell;13800;ISTRES;France;43.500818;4.993605
Oui;l'ilovélo;passage Gaëte;13500;MARTIGUES;France;43.406612;5.054664
Oui;Atelier vélo participatif et solidaire Pau;1 rue d'Ossau;64320;PAU;France;43.29217576080189;-0.34871292107709456
Oui;Le repaire des heureux cycleurs;ZA des Rochettes;88310;CORNIMONT;France;47.96;6.834
Oui;Maison du vélo de Mérignac;215 Avenue de la Marne;33700;MÉRIGNAC;France;44.83313911055433;-0.640154778957367
Oui;Le Rheu à Vélo;Impasse de Gerhoui – ZA du Chêne Vert;35650;LE RHEU;France;48.093305;-1.787253
Oui;Cycl’Aux - la Recyclette;13 bis rue Jean-Jacques Collenot;21140;SEMUR-EN-AUXOIS;France;47.4902;4.33653
Oui;Clinique du cycle;rue Lucie AUBRAC (prolongement) ;90400 ;DANJOUTIN;France;47.61204003603112;6.862670481204987
Oui;Droit d’Vélo douaisis;174 place de la gare;59500;DOUAI;France;50.37212417499338;3.089644610881806
Oui;Busabiclou;11 rue du stand de tir;59100;ROUBAIX;France;50.684543948960574;3.2113283872604375
Oui;Véli-Vélo Limoges;88 rue des Tuilières ;87000;LIMOGES;France;45.8252;1.28073
Oui;Recyclette;18 A rue de Moscou ;40140;SOUSTONS;France;43.74761461134689;-1.3241207599639895
Oui;le Bocal à Vélo;2 allée de Finlande;35200;RENNES;France;48.09169233020924;-1.6527342796325686
Oui;VELOMOTIV’;3 rue de l'Hospice;66500;PRADES;France;42.61805;2.42451
Oui;Hors la Loire;30 route de la Bridonnière;49270;LA VARENNE;France;47.33150804544337;-1.2925779819488528
Oui;Le Petit Biclou;58 rue Damesme;75013;PARIS;France;48.82161510745615;2.3552423715591435
Oui;Biclou;1 bis rue François Marcea;59260;HELLEMMES;France;50.63514529507524;3.115978538990021
Oui;Mont2Roues;29 rue du Ruisseau;40000;MONT-DE-MARSAN;France;43.89022;-0.49713
Non;Vélostation Neudorf;8 rue Frédéric;67100;STRASBOURG;France;48.56697;7.75912
Non;Vélostation Montagne Verte;7  rue de Flexbourg ;67200;STRASBOURG;France;48.56275949729351;7.70840048789978
Non;La bécane à Jules;17 rue de l’Ile;21000;DIJON;France;47.3140236;5.0299202
Non;La bécane à Jules;29 rue Castelnau;21000;DIJON;France;47.33382034035365;5.069589614868163
Non;Méli-Vélo;88 Rue Saint-Piat;7500;TOURNAI;Belgique;50.60400968333241;3.3942443132400513
Non;Ateliers de la rue Voot; Rue Voot, 91à ;1200;BRUXELLES;Belgique;50.8407646;4.4354816
Non;Roulement à Bill;Impasse Anatole;37100;TOURS;France;47.375001830600105;0.6845788657665254
Non;Velocita;chez Scopa, terre plein de la gare;20090; AJACCIO;France;41.930113;8.739615
Non;Vélocipaide;38 rue des Apennins;75017;PARIS;France;48.8913431;2.3227905
Non;Génération Solidaire Vauréal;Boulevard de l’Oise;95490;VAURÉAL;France;49.0307476;2.0219151
Non;Vélo Solidaire;53, rue Francis Combe;95000;CERGY;France;49.0457664;2.0716163
Non;Malak’ à vélo;21 rue Voltaire;92240;MALAKOFF;France;48.822130006126656;2.310857176780701
Non;Atelier Rustine et Cambouis;Allée de l'Ancienne Poste;33290;BLANQUEFORT;France;44.909159;-0.633766
Non;Association EVE;Rue du Pont Lerouge;12100;MILLAU;France;44.09298302892383;3.075243830680847
Non;Guidoline;36 - 38 rue Molière;76000;ROUEN;France;49.43820351397626;1.0988473892211914
Non;L'outil;78 Rue Saint-Nicolas;5000;NAMUR;Belgique;50.46486276115155;4.873734712600708
Non;ViaVélo;25, rue d'Italie;6000;NICE;France;43.702615;7.263087
Non;Atelier PharmaCycles ;rue Vezzani;83000;TOULON;France;43.123094951744285;5.931388735771178
Non;Ecole Claire Ville;257 Rue du Tilleul (Evere);;BRUXELLES;Belgique;50.8709865;4.3952702
Non;Péclôt 13;Rue de l'Industrie 7-9  ;1201;GENÈVE;Suisse;46.2103051;6.1380569
Non;Péclôt 13;12 Pavillons;1201;GENÈVE;Suisse;46.196307;6.1397001
Non;Péclôt 13;37, Jussy;1201;GENÈVE;Suisse;46.1962198;6.2055679
Non;Péclôt 13;12, Prairie;1201;GENÈVE;Suisse;46.20924;6.13511
Non;Hackney Bikeworkshop;Hackney City Farm, 1a Goldsmiths Row;E2 8NA;LONDON;UK;51.53173895508019;-0.06667435169219971
Non;Hackney Bikeworkshop;Clapton Park URC, Round Chapel Old School Rooms, Powerscroft  Road;E5 0PU;LONDON;UK;51.55228892044916;-0.051991939544677734
Non;BeCyCle;21-22 High Street;AB24 3EB;ABERDEEN;UK;57.16485589731673;-2.102256417274475
Non;Biciosxs;CSA LaRAMPA, Calle Joan Riera 17, Nou Barris;8042;BARCELONA;España;41.44185737694647;2.1741503477096558
Non;Maravillosa Ciclococina;Calle del Pez, 2;;MADRID;España;40.42387777000218;-3.70588481426239
Non;Madrid Taller de Autoreparación de Bicis del Dragón;Avenida Daroca, 90;28017;MADRID;España;40.42601455;-3.6471913
Non;Taller gratuito Getafenbici;Calle Pizarro, 17;28901;GETAFE;España;40.31296099012216;-3.7308883666992188
Non;A Piñón;CSOA los 15 gatxs, Camino de Ronda 190;18012;GRANADA;España;37.18294865;-3.61222105280025
Non;Taller autogestionado;Calle Capitán Balaca, 10;30011;MURCIA;España;37.983151;-1.118951
Non;Ciclofficina Forte Prenestino;via Federico Delpino;171;ROMA;Italia;41.89281853703695;12.569174766540526
Non;Ciclofficina Ex-Lavanderia;Via Sebastiano Vinci;100;ROMA;Italia;41.93849;12.41607
Non;Ciclofficina ampioraggio;via Fioravanti 24;;BOLOGNA;Italia;44.51297184352205;11.341238021850586
Non;Sella del Diavolo;via Principe Amedeo 21;9100;CAGLIARI;Italia;39.215314;9.115082
Non;Brugola rossa;CPA Fi-Sud, Via di Villamagna 27-A;50136;FIRENZE;Italia;43.763584832090096;11.288902759552002
Non;Ciclofficina Ruota Libera;Facoltà di Agraria, via Giovanni Celoria 2;20133;MILANO;Italia;45.476476276267235;9.226841926574707
Non;Passi da Ciclope;Via Giulio Cozzoli, 4;70132;BARI - SAN PAOLO;Italia;41.124997;16.796399
Non;Atelier ouvert Bockstael;160 Boulevard Émile Bockstael;1020;BRUXELLES;Belgique;50.8738454;4.34604743747409
Non;Atelier ouvert rue de Flandre;85 Rue de Flandre;1000;BRUXELLES;Belgique;50.8525107;4.3460313
Non;The Bike Station;244 Causewayside;EH9 1UU;EDINGBURG;UK;55.934707328702636;-3.1798553466796875
Non;The Bike Station;284 High Street;PH1;PERTH;UK;56.39693761320069;-3.4381842613220215
Non;Rothar Phibsboro;167 Phibsborough Road;D07;DUBLIN;Ireland;53.36021996883432;-6.2725067138671875
Non;Cranks DIY Workshop;22 Chapel Street;BN2 0JL;BRIGHTON;UK;50.821952964130475;-0.13129949569702148
Non;The 56a bike space;56a Crampton Street;SE17 3AE;LONDON;UK;51.490658777157606;-0.10044336318969727
